rideable_type,started_at,start_date,start_day_of_the_week,start_time,ended_at,end_date,end_day_of_the_week,end_time,start_station_name,end_station_name
electric_bike,3/20/2024 8:39,3/20/2024,Wednesday,8:39:00,3/20/2024 8:46,3/20/2024,Wednesday,8:46:00,Columbus Dr & Randolph St,Michigan Ave & Ida B Wells Dr
classic_bike,3/12/2024 16:13,3/12/2024,Tuesday,16:13:00,3/12/2024 16:20,3/12/2024,Tuesday,16:20:00,Columbus Dr & Randolph St,Michigan Ave & Ida B Wells Dr
electric_bike,3/10/2024 10:32,3/10/2024,Sunday,10:32:00,3/10/2024 10:52,3/10/2024,Sunday,10:52:00,Kedzie Ave & Chicago Ave,Michigan Ave & Ida B Wells Dr
classic_bike,3/4/2024 13:50,3/4/2024,Monday,13:50:00,3/4/2024 13:57,3/4/2024,Monday,13:57:00,Wabash Ave & Wacker Pl,Michigan Ave & Ida B Wells Dr
electric_bike,3/6/2024 16:48,3/6/2024,Wednesday,16:48:00,3/6/2024 17:00,3/6/2024,Wednesday,17:00:00,LaSalle Dr & Huron St,Michigan Ave & Ida B Wells Dr
electric_bike,3/3/2024 9:52,3/3/2024,Sunday,9:52:00,3/3/2024 10:21,3/3/2024,Sunday,10:21:00,Wood St & Milwaukee Ave,Michigan Ave & Ida B Wells Dr
classic_bike,3/20/2024 15:44,3/20/2024,Wednesday,15:44:00,3/20/2024 15:50,3/20/2024,Wednesday,15:50:00,Michigan Ave & Madison St,Michigan Ave & Ida B Wells Dr
electric_bike,3/2/2024 11:38,3/2/2024,Saturday,11:38:00,3/2/2024 11:41,3/2/2024,Saturday,11:41:00,Michigan Ave & Madison St,Michigan Ave & Ida B Wells Dr
electric_bike,3/21/2024 11:06,3/21/2024,Thursday,11:06:00,3/21/2024 11:07,3/21/2024,Thursday,11:07:00,Wabash Ave & Adams St,Michigan Ave & Ida B Wells Dr
classic_bike,3/26/2024 20:54,3/26/2024,Tuesday,20:54:00,3/26/2024 20:59,3/26/2024,Tuesday,20:59:00,Michigan Ave & Madison St,Michigan Ave & Ida B Wells Dr
classic_bike,3/8/2024 9:33,3/8/2024,Friday,9:33:00,3/8/2024 9:36,3/8/2024,Friday,9:36:00,Wabash Ave & 9th St,Michigan Ave & Ida B Wells Dr
classic_bike,3/30/2024 12:38,3/30/2024,Saturday,12:38:00,3/30/2024 12:44,3/30/2024,Saturday,12:44:00,Dearborn St & Adams St,Michigan Ave & Ida B Wells Dr
classic_bike,3/4/2024 12:25,3/4/2024,Monday,12:25:00,3/4/2024 12:45,3/4/2024,Monday,12:45:00,Wentworth Ave & 24th St,Michigan Ave & Ida B Wells Dr
classic_bike,3/26/2024 12:59,3/26/2024,Tuesday,12:59:00,3/26/2024 13:18,3/26/2024,Tuesday,13:18:00,Wentworth Ave & 24th St,Michigan Ave & Ida B Wells Dr
classic_bike,3/4/2024 14:10,3/4/2024,Monday,14:10:00,3/4/2024 15:07,3/4/2024,Monday,15:07:00,Commercial Ave & 83rd St,Michigan Ave & Ida B Wells Dr
classic_bike,3/23/2024 23:37,3/23/2024,Saturday,23:37:00,3/24/2024 0:18,3/24/2024,Sunday,0:18:00,State St & Harrison St,Michigan Ave & Ida B Wells Dr
classic_bike,3/6/2024 15:25,3/6/2024,Wednesday,15:25:00,3/6/2024 15:40,3/6/2024,Wednesday,15:40:00,Loomis St & Jackson Blvd,Michigan Ave & Ida B Wells Dr
classic_bike,3/9/2024 16:14,3/9/2024,Saturday,16:14:00,3/9/2024 16:20,3/9/2024,Saturday,16:20:00,LaSalle St & Adams St,Michigan Ave & Ida B Wells Dr
electric_bike,3/12/2024 10:37,3/12/2024,Tuesday,10:37:00,3/12/2024 10:54,3/12/2024,Tuesday,10:54:00,Ogden Ave & Chicago Ave,Michigan Ave & Ida B Wells Dr
classic_bike,3/12/2024 11:19,3/12/2024,Tuesday,11:19:00,3/12/2024 11:29,3/12/2024,Tuesday,11:29:00,Peoria St & Jackson Blvd,Michigan Ave & Ida B Wells Dr
classic_bike,3/12/2024 14:30,3/12/2024,Tuesday,14:30:00,3/12/2024 14:46,3/12/2024,Tuesday,14:46:00,Peoria St & Jackson Blvd,Michigan Ave & Ida B Wells Dr
electric_bike,3/12/2024 14:30,3/12/2024,Tuesday,14:30:00,3/12/2024 14:46,3/12/2024,Tuesday,14:46:00,Peoria St & Jackson Blvd,Michigan Ave & Ida B Wells Dr
classic_bike,3/25/2024 13:56,3/25/2024,Monday,13:56:00,3/25/2024 14:23,3/25/2024,Monday,14:23:00,Paulina St & Flournoy St,Michigan Ave & Ida B Wells Dr
electric_bike,3/26/2024 9:10,3/26/2024,Tuesday,9:10:00,3/26/2024 9:18,3/26/2024,Tuesday,9:18:00,900 W Harrison St,Michigan Ave & Ida B Wells Dr
electric_bike,3/27/2024 16:36,3/27/2024,Wednesday,16:36:00,3/27/2024 16:48,3/27/2024,Wednesday,16:48:00,Kingsbury St & Kinzie St,Michigan Ave & Ida B Wells Dr
classic_bike,3/19/2024 19:49,3/19/2024,Tuesday,19:49:00,3/19/2024 19:53,3/19/2024,Tuesday,19:53:00,Michigan Ave & Washington St,Michigan Ave & Ida B Wells Dr
classic_bike,3/4/2024 10:22,3/4/2024,Monday,10:22:00,3/4/2024 10:26,3/4/2024,Monday,10:26:00,Michigan Ave & Washington St,Michigan Ave & Ida B Wells Dr
classic_bike,3/21/2024 10:54,3/21/2024,Thursday,10:54:00,3/21/2024 10:59,3/21/2024,Thursday,10:59:00,Michigan Ave & Washington St,Michigan Ave & Ida B Wells Dr
classic_bike,3/24/2024 10:13,3/24/2024,Sunday,10:13:00,3/24/2024 10:21,3/24/2024,Sunday,10:21:00,Michigan Ave & Washington St,Michigan Ave & Ida B Wells Dr
classic_bike,3/12/2024 10:52,3/12/2024,Tuesday,10:52:00,3/12/2024 10:56,3/12/2024,Tuesday,10:56:00,Michigan Ave & Washington St,Michigan Ave & Ida B Wells Dr
classic_bike,3/9/2024 16:00,3/9/2024,Saturday,16:00:00,3/9/2024 16:07,3/9/2024,Saturday,16:07:00,Dearborn St & Monroe St,Michigan Ave & Ida B Wells Dr
classic_bike,3/14/2024 10:53,3/14/2024,Thursday,10:53:00,3/14/2024 10:58,3/14/2024,Thursday,10:58:00,Michigan Ave & Washington St,Michigan Ave & Ida B Wells Dr
classic_bike,3/12/2024 13:43,3/12/2024,Tuesday,13:43:00,3/12/2024 14:08,3/12/2024,Tuesday,14:08:00,Michigan Ave & Washington St,Michigan Ave & Ida B Wells Dr
classic_bike,3/16/2024 12:55,3/16/2024,Saturday,12:55:00,3/16/2024 13:03,3/16/2024,Saturday,13:03:00,Michigan Ave & Washington St,Michigan Ave & Ida B Wells Dr
classic_bike,3/17/2024 20:00,3/17/2024,Sunday,20:00:00,3/17/2024 20:54,3/17/2024,Sunday,20:54:00,Michigan Ave & Washington St,Michigan Ave & Ida B Wells Dr
classic_bike,3/17/2024 20:01,3/17/2024,Sunday,20:01:00,3/17/2024 20:54,3/17/2024,Sunday,20:54:00,Michigan Ave & Washington St,Michigan Ave & Ida B Wells Dr
classic_bike,3/31/2024 10:40,3/31/2024,Sunday,10:40:00,3/31/2024 10:56,3/31/2024,Sunday,10:56:00,Michigan Ave & Washington St,Michigan Ave & Ida B Wells Dr
electric_bike,3/23/2024 11:50,3/23/2024,Saturday,11:50:00,3/23/2024 11:55,3/23/2024,Saturday,11:55:00,Michigan Ave & Washington St,Michigan Ave & Ida B Wells Dr
classic_bike,3/16/2024 18:08,3/16/2024,Saturday,18:08:00,3/16/2024 18:15,3/16/2024,Saturday,18:15:00,Michigan Ave & Washington St,Michigan Ave & Ida B Wells Dr
classic_bike,3/25/2024 14:11,3/25/2024,Monday,14:11:00,3/25/2024 14:18,3/25/2024,Monday,14:18:00,Michigan Ave & Washington St,Michigan Ave & Ida B Wells Dr
classic_bike,3/31/2024 10:40,3/31/2024,Sunday,10:40:00,3/31/2024 10:56,3/31/2024,Sunday,10:56:00,Michigan Ave & Washington St,Michigan Ave & Ida B Wells Dr
electric_bike,3/20/2024 0:27,3/20/2024,Wednesday,0:27:00,3/20/2024 0:30,3/20/2024,Wednesday,0:30:00,Clark St & Ida B Wells Dr,Michigan Ave & Ida B Wells Dr
classic_bike,3/11/2024 15:35,3/11/2024,Monday,15:35:00,3/11/2024 16:00,3/11/2024,Monday,16:00:00,Dearborn St & Monroe St,Michigan Ave & Ida B Wells Dr
classic_bike,3/4/2024 10:08,3/4/2024,Monday,10:08:00,3/4/2024 10:14,3/4/2024,Monday,10:14:00,Michigan Ave & Washington St,Michigan Ave & Ida B Wells Dr
